x,y
389.0,-770.0
338.0,-844.0
455.0,-1227.0
408.0,-1119.0
334.0,-1121.0
322.0,-1109.0
406.0,-740.0
334.0,-1119.0
424.0,-711.0
332.0,-1116.0
328.0,-1173.0
341.0,-1182.0
345.0,-1143.0
340.0,-1111.0
327.0,-1172.0
337.0,-1178.0
341.0,-1181.0
376.0,-1224.0
46.0,-741.0
338.0,-1182.0
407.0,-742.0
419.0,-876.0
214.0,-1580.0
406.0,-856.0
407.0,-740.0
437.0,-794.0
269.0,-1014.0
333.0,-1118.0
419.0,-878.0
340.0,-841.0
361.0,-1152.0
389.0,-944.0
387.0,-772.0
407.0,-738.0
378.0,-1224.0
384.0,-1227.0
336.0,-1179.0
450.0,-933.0
416.0,-936.0
374.0,-1221.0
373.0,-1220.0
456.0,-1227.0
331.0,-1120.0
450.0,-931.0
386.0,-1226.0
403.0,-742.0
400.0,-860.0
406.0,-742.0
360.0,-789.0
404.0,-869.0
488.0,-1225.0
327.0,-971.0
354.0,-808.0
388.0,-1213.0
320.0,-1110.0
388.0,-770.0
353.0,-1207.0
421.0,-878.0
409.0,-742.0
391.0,-1086.0
358.0,-864.0
339.0,-843.0
303.0,-977.0
436.0,-1162.0
340.0,-1185.0
394.0,-766.0
368.0,-1194.0
455.0,-1224.0
322.0,-829.0
371.0,-957.0
325.0,-850.0
329.0,-846.0
334.0,-1118.0
337.0,-1180.0
377.0,-1222.0
351.0,-900.0
386.0,-1215.0
341.0,-1174.0
351.0,-807.0
492.0,-1231.0
476.0,-1223.0
376.0,-1220.0
415.0,-830.0
407.0,-736.0
533.0,-63.0
415.0,-728.0
402.0,-747.0
362.0,-868.0
400.0,-752.0
444.0,-881.0
413.0,-926.0
304.0,-843.0
332.0,-1174.0
339.0,-1176.0
335.0,-1119.0
341.0,-1179.0
415.0,-713.0
387.0,-1214.0
184.0,-661.0
391.0,-845.0
285.0,-814.0
323.0,-900.0
329.0,-972.0
398.0,-862.0
328.0,-968.0
377.0,-973.0
352.0,-808.0
378.0,-843.0
334.0,-1123.0
360.0,-839.0
329.0,-1118.0
422.0,-712.0
461.0,-1183.0
376.0,-1223.0
