state,action0,action1,action2
0038d,452.22512264790464,443.7028714214255,438.7028714214255
0087c,471.8618857921981,455.96018059089755,431.47145687638925
01299,462.7033389402709,453.43895626000784,452.07630555086814
02176,464.27920084428405,457.63640883564176,450.6364088358391
02384,343.3995270080347,339.4672801134628,337.9655317379543
027ff,422.9896967578996,466.49510396265595,448.48871916698766
02e62,453.3484245253594,440.88646648037513,446.8098331202066
031b4,240.77899395961617,252.06627712773894,234.5693283927898
03ac6,448.83209987090913,468.27920084428405,454.59640883584115
04306,345.96553173794206,315.222192500257,339.3636623849047
04ad2,255.55456444120645,257.5291675880874,247.95387591220648
04d19,448.0991828773046,444.3802020766907,442.19939914881616
058d5,462.5964079082939,413.73022908743945,424.4433129233871
06de9,250.13047231119944,239.7312471530844,241.62916758808743
06ec4,455.0300447474827,471.56073232157075,460.845124998355
07bed,250.7312471530844,238.14733687391174,243.13710565152766
07e46,261.23953914008706,247.49416489614373,257.0131315332988
08491,339.3095030387051,330.23011765636875,329.8837975835391
085bc,456.97044474748265,442.4007403000078,449.4007403000078
089ee,415.4807669866815,436.3435764720081,423.97559719590754
091eb,465.835224998355,445.21878992954424,459.17686896563185
09a1b,433.43920742093877,425.1048153467293,420.1048153467293
09eac,454.3873305253594,460.2604649133274,448.6578492952715
0af7d,447.6557402801057,450.52338036556387,445.01814656190817
0b8ef,233.52208538139055,225.18679136904058,223.1866542326986
0c75c,464.63073232157075,454.984424998355,454.984424998355
0d866,478.16502328494124,450.64820332712833,471.38337305209177
0df54,248.3423828836379,225.67926946425342,243.8589590548015
0e680,228.83149916979596,270.13953914008727,258.43814374868634
0ebb3,348.7271727663688,339.7975020283179,336.23990103870506
0fe39,262.77376231119945,236.98979378155352,252.1460246880874
1038e,455.33458074837137,443.4083876024147,447.61190431170917
1090b,242.8789590548015,232.45016946409913,231.45016946425318
10ba0,458.9844249981819,442.4518530682641,407.7868110742544
114bd,444.56122592117555,402.3832365412482,417.55260970723424
11701,457.984424998355,465.63073232157075,453.974424998355
12f26,328.4328843468126,316.1485555033444,320.1485555033444
12fb7,449.1686559806787,477.35721105077874,467.5836389402709
13079,248.16287591220652,237.68085209693814,237.67992323419392
13be5,434.5092060113454,446.3523761997016,434.8888524375616
14063,332.76048923906575,308.2430117602402,322.60548641953807
141dc,452.567765096289,446.0400901054704,438.0122310464971
15310,244.40453615308436,235.9604907915535,231.9604907915535
16c64,253.95387591189984,236.60720182371568,249.74308272487184
18177,430.4652494373376,456.0842225914787,441.52338036556387
18beb,267.13953913967543,245.16577236744592,254.5865484532804
194af,467.76015298067864,438.36599000376117,453.0825457025378
1a565,454.0088409375593,458.3925174890714,446.8085923064167
1acc0,460.17687274837135,454.5281910485315,450.5751040208876
1b3c3,470.06386493428414,471.55073232157076,456.835224998355
1b9fc,259.1460246880874,248.4567059518977,251.55173666462957
1bc32,441.235842707164,492.5025125628062,485.5774803706176
1be00,322.48463235961486,307.42708796988404,284.48593613538577
1bee3,266.1140897176297,228.62721564327015,250.89232915168543
1c49f,247.53459294951065,241.0592470200155,235.0592470200155
1c6c0,340.48796542057465,340.30943792823473,335.0830857663687
1cdab,458.71959402209177,430.980140707288,451.1323980818708
1cfaf,249.14604864709435,240.65458816062338,238.65458816062338
1d0c2,469.38337305209177,446.8310519407787,456.6895393215708
1d0eb,460.7812349408797,436.05901296140155,445.5606185701293
1da51,248.55197698984568,251.75879396984564,245.24120603014714
1de48,330.56724392823475,324.1114744925436,321.25311124771775
1dedb,443.3550226479046,437.9208752417618,429.92025906376034
1e68e,434.5476322561307,459.0292487474827,451.43895622908394
1ff7b,225.67926946425334,222.4188040023623,210.8615714519804
2021c,487.79208579220625,456.3925174890714,479.91416493428414
204a5,235.38036946425345,224.02656576961087,231.02656576961087
21639,453.3623761997016,447.8287524377045,445.8287524377045
22897,463.17687274837135,473.86188579220624,461.1232669342841
2315b,463.07630555086814,449.4455424953594,457.4455424953594
23adf,467.6895393215708,458.9378025508681,453.01264392835503
23c59,243.16287591220652,235.7312471530844,233.7312471530844
23e8b,331.9989557740627,337.04553173795426,326.67507642057467
24210,449.4504393095441,371.129356381517,427.21968782654847
25f20,459.0292487474827,451.43787518174537,450.43894473039614
262b0,242.62916758808743,232.20287589998304,237.20287537508926
26352,457.3484245253594,468.1232669342841,455.44203426494124
27cf1,452.7003323215708,436.11191536105986,442.55474130323995
27e16,336.91640800831783,323.01415816797805,325.46809455738367
2858d,261.55456444118573,238.38051632925223,234.92134853223104
285b7,262.7737623111985,242.99019877954032,146.7717040227255
28ac5,436.15208744532606,464.2746807483714,456.6319339408876
28fdc,468.2792008442765,450.0991828773046,459.96226365544743
2920b,433.9434229685314,427.0985366908421,412.89795921260196
29864,252.67277641120643,243.16287591220652,243.14604864709435
2b0eb,249.84079079155308,217.22800845769487,227.91498475057662
2c674,467.30607891039386,454.7688130704736,397.3047087681691
2ced1,459.974424998355,457.9499175977831,444.19602853271624
2cfc8,455.051281661552,474.71171256280536,460.74149295928873
2d863,334.916408008318,331.4672801134628,323.5658553047202
2d983,474.2692008442837,455.0534186883909,460.98388890049085
2e194,265.03602468808737,257.3856644412064,259.3856644412064
2ec42,240.29393468155354,239.7312471530844,233.89099533473797
2f351,484.44808743717806,476.6036065628062,470.6036065628062
2f99e,458.71959402209177,437.84336201913794,350.59576417952627
2fca3,458.7611349408876,453.17352359147867,446.17352359147867
303c8,259.8334623111994,253.23512768808737,248.23512768808737
3055e,250.13047231119944,245.62916756828153,245.62916753604728
311ba,256.32433715308434,244.76109378155346,243.76109378155346
313c9,348.2292654205747,341.30943792823473,339.74697276636886
314c8,449.76600883584115,430.81174369500576,438.7442050605134
319f6,231.61865454981302,209.04890156175864,219.52381606313412
322ac,448.1323980818708,436.3437788722,435.651074101052
3324d,427.7167892203514,439.2619888052867,427.96734723999145
33bf4,261.1304723111994,253.5291675880874,255.5191675880874
34df2,471.35721105077874,458.6436389402709,458.6436389402709
3538a,452.17687274837135,470.33407305209175,457.63073232157075
35d5a,463.4855424951128,428.4188675568973,441.221665248494
36160,469.974424998355,461.2746807483714,457.2746807483714
3658d,335.90634354895235,324.54728011346276,328.54728011346276
36746,236.53459294951065,231.45016946425346,229.16924702001552
37834,317.6058820836359,338.9655317379289,233.24650260635622
37b73,467.1166737483714,458.44550701088764,452.44550701088764
3849b,464.0000447474814,452.9565032787463,448.81638400614906
38813,239.4501694642495,231.37214790774564,230.36720935740604
388c2,451.13456336004145,481.6384704971781,474.8220857922063
38c02,253.66714374868633,246.9004907915535,244.13047231119944
393a1,455.8310519407787,446.27274142121064,443.27274142075066
3949a,239.3423828836379,232.9489590548015,230.9489590548015
39633,326.2615714889523,318.9989557740627,321.9989557740627
39700,258.9080193334192,236.11590534100557,151.77377525665682
3a047,465.835224998355,453.3427735979282,443.1611641789254
3a8f6,226.50318417809797,216.74908199075924,218.78892282875452
3b1fb,239.85089916979595,235.45239017809797,236.45239017809797
3b5aa,480.80031756280624,464.36318023062256,467.9921023971675
3b86d,455.6557402801057,443.09918287713424,449.09918287730443
3bcc1,325.70507642057464,318.05823485047597,313.5030310148644
