state,action0,action1,action2
0038d,34,33,33
0087c,35,34,32
01299,34,33,33
02176,34,33,33
02384,34,33,33
027ff,32,35,34
02e62,34,33,33
031b4,33,35,32
03ac6,33,34,33
04306,35,32,34
04ad2,34,34,33
04d19,34,33,33
058d5,36,32,33
06de9,34,33,33
06ec4,33,34,33
07bed,34,33,33
07e46,34,32,34
08491,34,33,33
085bc,34,33,33
089ee,33,34,33
091eb,34,32,34
09a1b,34,33,33
09eac,33,34,33
0af7d,33,34,33
0b8ef,34,33,33
0c75c,34,33,33
0d866,34,32,34
0df54,35,31,34
0e680,30,36,34
0ebb3,34,33,33
0fe39,35,32,34
1038e,34,33,33
1090b,34,33,33
10ba0,35,34,31
114bd,35,32,33
11701,33,34,33
12f26,34,33,33
12fb7,32,34,34
13079,34,33,33
13be5,33,34,33
14063,35,32,33
141dc,34,33,33
15310,34,33,33
16c64,34,32,34
18177,32,34,33
18beb,35,32,33
194af,34,32,33
1a565,33,34,33
1acc0,34,33,33
1b3c3,34,34,33
1b9fc,34,33,33
1bc32,31,35,34
1be00,35,34,31
1bee3,36,31,34
1c49f,34,33,32
1c6c0,34,33,33
1cdab,34,32,34
1cfaf,34,33,33
1d0c2,34,33,33
1d0eb,34,32,33
1da51,33,34,33
1de48,34,33,33
1dedb,34,33,33
1e68e,32,34,34
1ff7b,34,34,32
2021c,34,32,34
204a5,34,32,33
21639,34,33,33
22897,33,34,33
2315b,34,33,33
23adf,34,33,33
23c59,34,33,33
23e8b,33,34,33
24210,36,30,34
25f20,34,33,33
262b0,34,33,33
26352,33,34,33
27cf1,34,33,33
27e16,34,33,33
2858d,36,32,32
285b7,40,37,22
28ac5,32,34,34
28fdc,34,33,33
2920b,34,34,32
29864,34,33,33
2b0eb,36,31,33
2c674,35,34,30
2ced1,34,34,33
2cfc8,33,34,33
2d863,34,33,33
2d983,34,33,33
2e194,34,33,33
2ec42,34,34,33
2f351,34,33,33
2f99e,37,35,28
2fca3,34,33,33
303c8,34,33,33
3055e,34,33,33
311ba,34,33,33
313c9,34,33,33
314c8,34,33,33
319f6,35,32,33
322ac,34,33,33
3324d,33,34,33
33bf4,34,33,33
34df2,34,33,33
3538a,33,34,33
35d5a,35,32,33
36160,34,33,33
3658d,34,33,33
36746,34,33,33
37834,36,38,26
37b73,34,33,33
3849b,34,33,33
38813,34,33,33
388c2,32,34,34
38c02,34,33,33
393a1,34,33,33
3949a,34,33,33
39633,34,33,33
39700,40,37,23
3a047,34,33,33
3a8f6,34,33,33
3b1fb,34,33,33
3b5aa,34,33,33
3b86d,34,33,33
3bcc1,34,33,33
3c152,34,33,33
3d328,34,33,33
3d734,34,33,33
3d914,34,33,33
3da6e,34,33,33
3ea77,34,33,33
3ec13,34,33,32
3f980,34,33,33
3fdba,34,33,33
4099e,33,34,33
40f8d,35,31,33
40fb7,35,32,33
41a5b,33,34,33
41cfc,34,33,33
41e52,33,34,33
421c0,35,32,33
425d6,34,33,33
44c80,34,33,33
44cb7,34,33,33
44d39,34,33,33
454f6,27,40,33
456d1,33,34,33
45953,34,33,33
4621c,35,32,33
4654d,33,35,33
46db1,33,34,33
46f9d,34,33,33
470ec,34,33,33
4739e,33,34,33
4753e,34,33,33
477d8,33,34,33
477f4,34,33,33
47a42,34,33,33
47f6c,31,36,33
47fec,34,33,33
48302,34,33,33
485d9,35,32,34
48b36,34,33,33
48ce3,34,33,32
48d30,34,33,33
48e1f,34,33,33
48eda,35,32,33
48f89,34,33,33
4a621,34,33,32
4a859,34,33,33
4b8ba,40,40,20
4bc5b,34,33,33
4be84,33,34,33
4cc3d,34,33,32
4d517,34,33,33
4dea5,35,34,31
4eef2,35,32,33
4fc82,34,33,33
4ff57,34,33,33
4fffe,33,34,33
50a0a,35,31,34
50e9a,34,33,33
51cfe,34,33,33
51e14,34,33,33
52558,36,31,33
5283f,34,33,33
52bb7,34,33,33
52f11,33,35,32
5316c,34,33,33
533eb,34,33,33
5344c,35,32,34
535fa,35,32,33
53d2d,36,30,34
549a2,35,33,33
5514a,32,35,34
556d7,34,33,33
55c9a,34,33,33
55e8a,34,33,33
55f01,34,33,33
560aa,34,32,34
5620e,32,35,33
5627b,35,33,33
5658b,34,34,32
56f4d,34,33,33
58070,35,34,32
580ad,34,33,33
583b0,33,34,33
58557,34,33,33
587a4,35,33,32
59279,36,34,30
592fb,33,34,33
5aca6,34,33,33
5b4af,32,34,34
