state,action0,action1,action2
0038d,100,0,0
0087c,100,0,0
01299,100,0,0
02176,100,0,0
02384,100,0,0
027ff,0,100,0
02e62,100,0,0
031b4,0,100,0
03ac6,0,100,0
04306,100,0,0
04ad2,100,100,0
04d19,100,0,0
058d5,100,0,0
06de9,100,0,0
06ec4,0,100,0
07bed,100,0,0
07e46,100,0,100
08491,100,0,0
085bc,100,0,0
089ee,0,100,0
091eb,100,0,100
09a1b,100,0,0
09eac,0,100,0
0af7d,0,100,0
0b8ef,100,0,0
0c75c,100,0,0
0d866,100,0,100
0df54,100,0,0
0e680,0,100,0
0ebb3,100,0,0
0fe39,100,0,0
1038e,100,0,0
1090b,100,0,0
10ba0,100,0,0
114bd,100,0,0
11701,0,100,0
12f26,100,0,0
12fb7,0,100,100
13079,100,0,0
13be5,0,100,0
14063,100,0,0
141dc,100,0,0
15310,100,0,0
16c64,100,0,100
18177,0,100,0
18beb,100,0,0
194af,100,0,0
1a565,0,100,0
1acc0,100,0,0
1b3c3,100,100,0
1b9fc,100,0,0
1bc32,0,100,0
1be00,100,0,0
1bee3,100,0,0
1c49f,100,0,0
1c6c0,100,0,0
1cdab,100,0,100
1cfaf,100,0,0
1d0c2,100,0,0
1d0eb,100,0,0
1da51,0,100,0
1de48,100,0,0
1dedb,100,0,0
1e68e,0,100,100
1ff7b,100,100,0
2021c,100,0,100
204a5,100,0,0
21639,100,0,0
22897,0,100,0
2315b,100,0,0
23adf,100,0,0
23c59,100,0,0
23e8b,0,100,0
24210,100,0,0
25f20,100,0,0
262b0,100,0,0
26352,0,100,0
27cf1,100,0,0
27e16,100,0,0
2858d,100,0,0
285b7,100,0,0
28ac5,0,100,100
28fdc,100,0,0
2920b,100,100,0
29864,100,0,0
2b0eb,100,0,0
2c674,100,0,0
2ced1,100,100,0
2cfc8,0,100,0
2d863,100,0,0
2d983,100,0,0
2e194,100,0,0
2ec42,100,100,0
2f351,100,0,0
2f99e,100,0,0
2fca3,100,0,0
303c8,100,0,0
3055e,100,0,0
311ba,100,0,0
313c9,100,0,0
314c8,100,0,0
319f6,100,0,0
322ac,100,0,0
3324d,0,100,0
33bf4,100,0,0
34df2,100,0,0
3538a,0,100,0
35d5a,100,0,0
36160,100,0,0
3658d,100,0,0
36746,100,0,0
37834,0,100,0
37b73,100,0,0
3849b,100,0,0
38813,100,0,0
388c2,0,100,100
38c02,100,0,0
393a1,100,0,0
3949a,100,0,0
39633,100,0,0
39700,100,0,0
3a047,100,0,0
3a8f6,100,0,0
3b1fb,100,0,0
3b5aa,100,0,0
3b86d,100,0,0
3bcc1,100,0,0
3c152,100,0,0
3d328,100,0,0
3d734,100,0,0
3d914,100,0,0
3da6e,100,0,0
3ea77,100,0,0
3ec13,100,0,0
3f980,100,0,0
3fdba,100,0,0
4099e,0,100,0
40f8d,100,0,0
40fb7,100,0,0
41a5b,0,100,0
41cfc,100,0,0
41e52,0,100,0
421c0,100,0,0
425d6,100,0,0
44c80,100,0,0
44cb7,100,0,0
44d39,100,0,0
454f6,0,100,0
456d1,0,100,0
45953,100,0,0
4621c,100,0,0
4654d,0,100,0
46db1,0,100,0
46f9d,100,0,0
470ec,100,0,0
4739e,0,100,0
4753e,100,0,0
477d8,0,100,0
477f4,100,0,0
47a42,100,0,0
47f6c,0,100,0
47fec,100,0,0
48302,100,0,0
485d9,100,0,0
48b36,100,0,0
48ce3,100,0,0
48d30,100,0,0
48e1f,100,0,0
48eda,100,0,0
48f89,100,0,0
4a621,100,0,0
4a859,100,0,0
4b8ba,100,100,0
4bc5b,100,0,0
4be84,0,100,0
4cc3d,100,0,0
4d517,100,0,0
4dea5,100,0,0
4eef2,100,0,0
4fc82,100,0,0
4ff57,100,0,0
4fffe,0,100,0
50a0a,100,0,0
50e9a,100,0,0
51cfe,100,0,0
51e14,100,0,0
52558,100,0,0
5283f,100,0,0
52bb7,100,0,0
52f11,0,100,0
5316c,100,0,0
533eb,100,0,0
5344c,100,0,0
535fa,100,0,0
53d2d,100,0,0
549a2,100,0,0
5514a,0,100,0
556d7,100,0,0
55c9a,100,0,0
55e8a,100,0,0
55f01,100,0,0
560aa,100,0,100
5620e,0,100,0
5627b,100,0,0
5658b,100,100,0
56f4d,100,0,0
58070,100,0,0
580ad,100,0,0
583b0,0,100,0
58557,100,0,0
587a4,100,0,0
59279,100,0,0
592fb,0,100,0
5aca6,100,0,0
5b4af,0,100,100
5bac5,100,0,0
5c344,100,0,100
5d389,0,100,100
5e74c,0,100,0
5ec1a,100,0,0
5ef65,100,0,0
5ef6f,100,0,0
5f128,100,0,0
61e04,100,0,0
620c9,100,0,0
621cb,100,0,0
62bfa,100,0,100
62c48,0,100,0
62e66,0,100,0
62f77,100,0,0
63606,100,0,0
6495d,100,0,0
64d94,0,100,100
65577,100,0,0
65947,100,0,0
6629d,100,0,0
665cb,100,0,0
66a7a,100,0,0
67190,0,100,0
680f6,100,0,100
6815f,100,0,0
684fe,100,0,0
68519,100,0,0
68c6c,100,0,0
68e1e,100,0,0
68f10,0,100,0
68fcd,100,0,0
6953c,0,100,0
6a979,100,0,0
6abb9,100,0,0
6affd,0,100,100
6b3c2,0,100,100
6b51d,100,0,0
6bd44,0,100,0
6c658,100,0,100
6cc6e,0,100,0
6cd5b,100,0,0
6d056,100,0,0
6d094,100,0,0
6d0ae,100,0,0
6d260,100,0,0
6d6e1,100,0,0
6db6e,0,100,100
6dd6d,100,0,0
6e400,100,0,0
6e457,100,0,0
6e8d1,100,0,0
6ea2f,0,100,0
6ee1f,100,0,0
6f4b6,100,0,0
6fb47,100,0,0
6fd9a,100,0,100
6fdd9,100,0,0
6fef3,0,100,0
709df,100,0,0
70c76,100,0,0
70e8d,0,100,0
71047,100,0,0
714e6,100,0,0
71812,0,100,0
7182d,100,0,0
71ee4,0,100,0
72440,100,100,0
72805,100,100,0
72dbc,0,100,0
73475,0,100,0
736e5,0,100,0
74332,100,0,0
747ad,0,100,100
74806,0,100,100
74bb0,0,100,100
7559c,100,0,0
757b6,100,0,0
7595d,100,0,0
75992,0,100,0
76422,100,0,0
769e8,100,0,0
76ba6,100,0,0
777ab,100,0,0
785f3,100,0,0
7880b,100,0,0
79373,100,0,0
793a8,100,0,0
793de,100,0,0
79d6e,0,100,0
79e8c,100,0,0
7a84a,0,100,0
7a99d,100,0,0
7a9b1,100,0,100
7ac25,100,0,0
7c1c2,100,0,0
7cb67,100,100,0
7d717,0,100,0
7db67,100,0,0
7deef,0,100,0
7f225,100,0,0
7fc81,100,0,0
80124,100,0,0
802b9,100,0,0
8032b,100,0,0
8111e,100,0,0
814bb,0,100,100
814fd,100,0,0
81b8a,0,100,0
81def,100,0,0
81f27,100,100,0
82416,0,100,0
82555,100,0,0
82c01,100,0,0
833cd,0,100,0
835cc,0,100,0
835d5,0,100,100
83eaf,100,0,0
84a50,100,0,0
8527a,100,0,0
85a0c,100,0,0
85c7f,100,0,0
86573,100,0,0
86986,100,0,0
8698d,100,0,0
86d08,100,0,0
86e50,0,100,0
87226,100,0,0
873bd,0,100,0
87e50,0,100,0
8835f,100,0,0
88b54,100,0,0
8a376,100,0,0
8b013,0,100,0
8b0ae,0,100,0
8b7a6,100,100,0
8b7fb,100,0,0
8b80f,100,0,0
8bd9c,100,0,100
8c004,100,0,100
8c454,100,0,0
8c93c,100,0,0
8c9a0,100,0,0
8e28c,0,100,0
8e4e9,100,0,0
8e71b,0,100,0
8ecb5,100,0,0
8ef53,100,0,0
8efbb,0,100,0
8f87e,100,0,0
8f97d,100,0,0
90bbc,100,0,0
914c9,100,0,0
9168e,100,0,0
92128,0,100,0
9284d,100,0,0
929f0,100,0,0
92a6a,100,0,0
938db,100,0,0
93c37,100,0,0
93f9c,100,0,0
94f86,100,0,0
9512d,100,0,0
95279,100,0,0
95fc6,100,0,0
96061,100,100,0
96382,100,100,0
967ae,0,100,0
96b02,100,0,0
96da3,100,0,0
973d9,100,100,0
97468,100,0,0
98144,100,0,0
98f1f,100,0,0
98f3a,100,0,0
998ba,100,0,0
99a0b,100,0,0
9a0d4,100,0,0
9a72c,100,0,0
9b09d,0,100,0
9b21b,0,100,0
9b517,100,0,0
9b6c1,100,0,0
9b871,100,0,0
9baed,0,100,100
9c499,100,0,0
9d9f3,100,0,100
9e3b6,100,0,0
9e468,100,0,0
9e6a7,0,100,0
9e910,100,0,0
9ea3f,100,0,0
9eb2d,0,100,100
9f006,0,100,0
9f1f9,100,0,0
9f273,100,0,0
9fbb5,100,100,0
a0119,100,0,0
a073f,100,0,0
a0a53,100,0,0
a0b53,100,0,100
a1428,100,0,0
a15fa,0,100,0
a1832,100,0,0
a1dc2,100,0,0
a1e81,100,0,0
a2b00,100,0,0
a2cc7,100,0,0
a3513,100,0,0
a41b6,100,0,0
a42e8,100,100,0
a4323,100,0,0
a46e3,100,0,0
a4786,100,0,0
a665a,100,0,0
a68b4,100,0,0
a6c2a,100,0,0
a6d40,100,0,0
a7353,100,0,0
a8004,100,0,0
a8302,100,0,100
a8443,100,0,0
a860d,100,0,0
a8caa,100,0,0
a8cee,0,100,0
a8fd7,100,0,0
a9161,100,0,0
a9346,100,0,0
a953f,100,0,0
aa13f,100,0,0
aa820,100,0,0
aaee0,100,0,0
aaf01,100,0,0
ac93f,0,100,0
acff5,100,0,0
ad8fa,100,0,0
aedec,100,100,0
aee48,100,0,0
afbfb,100,0,0
b027f,0,100,0
b1556,100,0,0
b22eb,100,0,0
b24e3,100,0,0
b312d,0,100,0
b3152,100,0,0
b3396,100,100,0
b366c,100,0,0
b3dfd,100,0,0
b471a,100,0,0
b543b,100,0,0
b5a9e,100,0,0
b6953,0,100,0
b6b1b,100,0,0
b6cb2,100,0,0
b7c74,100,0,0
b7e30,100,0,0
b8aed,100,0,0
ba689,100,0,0
baa8a,0,100,0
bae9a,0,100,0
bba58,100,0,0
bbb96,100,0,0
bce35,100,0,0
be172,100,0,0
bf0a6,100,0,0
bfa76,0,100,0
c0509,100,0,0
c0aa4,100,0,0
c0d2d,100,0,0
c17ed,100,0,0
c2356,100,0,0
c24cf,0,100,0
c2847,0,100,0
c2a18,100,0,0
c344f,100,0,0
c47af,100,0,0
c4b6f,100,0,0
c60e2,0,100,0
c62ce,100,0,0
c66bb,100,0,0
c66f1,100,0,0
c6f3a,0,100,0
c8c81,100,0,0
c8f56,0,100,0
c91bc,100,0,0
ca05b,0,100,0
cc6bb,0,100,0
cca40,0,100,0
ccbcd,100,0,0
ccc67,100,0,0
ce63e,100,0,0
cf5df,100,100,0
d029f,100,0,0
d0c9e,100,0,0
d15e7,100,0,0
d18b2,100,0,0
d26ea,0,100,100
d2f48,100,0,0
d359f,100,0,0
d4053,0,100,0
d40fb,100,0,0
d42ed,0,100,0
d4679,100,0,0
d48ff,100,0,0
d4e33,100,0,0
d4ee9,100,100,0
d50d8,0,100,0
d5b14,100,0,0
d6e5a,100,0,0
d6f0c,100,0,0
d74fe,100,0,0
d83c7,100,0,0
d874e,100,0,0
d9521,100,0,0
da287,100,0,0
da4d4,0,100,0
da4ea,100,0,0
da957,100,0,0
daab3,100,100,0
db652,100,0,0
db935,100,0,0
dbaf8,100,0,0
dbb1d,0,100,0
dccb3,0,100,0
